Index,Name,Overall_Rating,Cuisine,Rate for two,City,Review,review_length,Sentiment,Cleaned_Review
0,Oliver Brown,3.9,"Cafe, Coffee, Shake, Juices, Beverages, Waffle, Desserts, Ice Cream",500,ahmedabad,"Been to this place 3-4 times. Prakash is always very sweet and accommodating. Plus always ask Vaibhav to make your shakes, they are perfect!!",24,Positive,place time prakash always sweet accommodating plus always ask vaibhav make shake perfect
1,Oliver Brown,3.9,"Cafe, Coffee, Shake, Juices, Beverages, Waffle, Desserts, Ice Cream",500,ahmedabad,"I recently visited Oliver Brown on a weekend for a cup of iced coffee, and I was thoroughly impressed. The ambience was inviting, the seating comfortable, and the service top-notch. I had the pleasure of trying their iced coffee and dark hot chocolate, both of which were absolutely delicious. It's an excellent place overall, and I'm already looking forward to my next visit",63,Positive,recently visited oliver brown weekend cup iced coffee thoroughly impressed ambience inviting seating comfortable service topnotch pleasure trying iced coffee dark hot chocolate absolutely delicious excellent place overall already looking forward next visit
2,Crush Coffee,3.0,"Cafe, Shake, Beverages, Desserts",600,ahmedabad,Very watery ans thin shake,5,Neutral,watery an thin shake
3,The Mohalla,3.8,Cafe,550,ahmedabad,it was not cheese burst pizza.. only cheeze was on the top.. not happy with the pizza sent made today,20,Positive,cheese burst pizza cheeze top happy pizza sent made today
4,The Mohalla,3.8,Cafe,550,ahmedabad,"Yammi.,....test burger is best I love 💗 this BergerAnd fry is also missing 😂Love ❤️ you ........",17,Positive,yammitest burger best love bergerand fry also missing love
5,The Shaka Cafe,4.3,"North Indian, Pizza, Asian, Chinese, Cafe, Desserts, Beverages","1,200",ahmedabad,"food was not spicy , which I was told to restorant on call and instructions. ",15,Positive,food spicy told restorant call instruction
6,The Shaka Cafe,4.3,"North Indian, Pizza, Asian, Chinese, Cafe, Desserts, Beverages","1,200",ahmedabad,Punjabi Thali is great. The taste was good and paratha was the star. The reason simple being provided instead of maida made Naan. So overall mindful serving to customer and liked it,32,Positive,punjabi thali great taste good paratha star reason simple provided instead maida made naan overall mindful serving customer liked
7,Hobnob Bistro,3.7,"North Indian, Cafe, Italian, Chinese, Desserts, Shake, Beverages","1,000",ahmedabad,The owner didn't let us sit in the AC though it was not at all reserved. We already had booked our table priorly then also he didn't give us the AC table to sit. He said that you should call us and book the AC table but no one ever picks the call at all. ,55,Positive,owner didnt let sit though reserved already booked table priorly also didnt give table sit said call book table one ever pick call
8,Mleko,4.8,"Cafe, Coffee, Bakery, Fast Food, Continental, Desserts, Beverages",800,ahmedabad,Both coffees were spilled and the box of pasta was opened up with coffee in the pastaWe need the money back since the items were completely inedible.i wish i had negative stars,32,Positive,coffee spilled box pasta opened coffee pastawe need money back since item completely inediblei wish negative star
9,Kaffee - Mast Hai,4.1,"Cafe, Pasta, Burger, Sandwich, Pizza, Wraps, Desserts, Beverages","1,200",ahmedabad,washroom was not available. had to use mall's security guard's washroom,11,Positive,washroom available use mall security guard washroom
